Reference	MT Abundance	Ref ID
001|Brady2-9	0.8891	147
001|Brady2-9	0.1159	147
001|Brady2-9	0.65335	147
001|Brady2-9	0.2583	147
001|Brady2-9	30	147
002|des-Pro3,Ala2,6-Bradykinin	8.1189	155
002|des-Pro3,Ala2,6-Bradykinin	1.99585	155
003|des-Pro2-Bradykinin	0.1754	151
003|des-Pro2-Bradykinin	0.1159	151
003|des-Pro2-Bradykinin	0.00972	151
003|des-Pro2-Bradykinin	0.02583	151
004|Bradykinin	15.20186	146
004|Bradykinin	0.8891	146
004|Bradykinin	0.1159	146
004|Bradykinin	0.8891	146
004|Bradykinin	8.058233	146
004|Bradykinin	0.65335	146
004|Bradykinin	0.02583	146
004|Bradykinin	0.65335	146
005|Tyr8-Bradykinin	0.11607	156
005|Tyr8-Bradykinin	0.8926	156
005|Tyr8-Bradykinin	0.01945	156
005|Tyr8-Bradykinin	0.07902	156
006|Tyr-Bradykinin	15.20186	149
006|Tyr-Bradykinin	2.46871	149
006|Tyr-Bradykinin	0.8891	149
006|Tyr-Bradykinin	0.1159	149
006|Tyr-Bradykinin	0.8891	149
006|Tyr-Bradykinin	8.058233	149
006|Tyr-Bradykinin	7.319024	149
006|Tyr-Bradykinin	0.65335	149
006|Tyr-Bradykinin	0.02583	149
006|Tyr-Bradykinin	0.65335	149
007|I-S-Bradykinin	15.20186	150
007|I-S-Bradykinin	0.8891	150
007|I-S-Bradykinin	0.1159	150
007|I-S-Bradykinin	0.16352	150
007|I-S-Bradykinin	0.8891	150
007|I-S-Bradykinin	8.058233	150
007|I-S-Bradykinin	0.65335	150
007|I-S-Bradykinin	0.02583	150
007|I-S-Bradykinin	0.65335	150
008|Fibrinopeptide_A	30.995	154
008|Fibrinopeptide_A	0.04028	154
008|Fibrinopeptide_A	6.805168	154
008|Fibrinopeptide_A	0.00408	154
009|Tyr-C_peptide	0.03672	118
009|Tyr-C_peptide	10.7957	118
009|Tyr-C_peptide	0.47508	118
009|Tyr-C_peptide	0.01004	118
009|Tyr-C_peptide	0.00896	118
009|Tyr-C_peptide	0.79652	118
009|Tyr-C_peptide	0.08196	118
009|Tyr-C_peptide	0.0067	118
011|Osteocalcin	0.1047	143
011|Osteocalcin	9.75702	143
011|Osteocalcin	0.927	143
011|Osteocalcin	4.756114	143
011|Osteocalcin	0.65888	143
011|Osteocalcin	0.65888	143
012|Syntide_2	37.25636	144
012|Syntide_2	2.1477	144
012|Syntide_2	12.1009	144
012|Syntide_2	0.01649	144
012|Syntide_2	0.04016	144
012|Syntide_2	0.05957	144
013|Leptin	73.22776	162
013|Leptin	0.6079	162
013|Leptin	10.640521	162
013|Leptin	0.008568	162
013|Leptin	0.447739	162
014|Ala92-Peptide_6	3.3324	148
014|Ala92-Peptide_6	0.45026	148
015|Pro_14_Arg	0.93579	142
015|Pro_14_Arg	0.889049	142
015|Pro_14_Arg	0.04588	142
015|Pro_14_Arg	0.0123	142
016|VIP-1-23	8.39044	157
016|VIP-1-23	3.768504	157
017|DBI-51-70	29.49482	145
017|DBI-51-70	0.172	145
017|DBI-51-70	2.65966	145
017|DBI-51-70	1.471187	145
017|DBI-51-70	0.00863	145
018|EGF-661-681	0.1856	141
018|EGF-661-681	54.8064	141
018|EGF-661-681	0.3425	141
018|EGF-661-681	6.47767	141
018|EGF-661-681	1.82353	141
018|EGF-661-681	5.538128	141
018|EGF-661-681	1.82353	141
018|EGF-661-681	0.31408	141
018|EGF-661-681	0.02902	141
019|3X_FLAG_Peptide	1.543	139
019|3X_FLAG_Peptide	0.251202	139
020|PLSRTLSVAAKK	1.48989	152
021|Dynorphin_A	11.87796	163
021|Dynorphin_A	2.928578	163
021|Dynorphin_A	0.00466	163
023|Angiotensin_I	2.9847	158
023|Angiotensin_I	12.109736	158
ADH1_YEAST	0.7412	123
ADH1_YEAST	0.1204	123
ADH1_YEAST	0.0618	123
ADH1_YEAST	0.05724	123
ADH1_YEAST	0.199	123
ADH1_YEAST	0.1939	123
ADH1_YEAST	0.1995	123
ADH1_YEAST	0.03572	123
ADH1_YEAST	0.98224	123
ADH1_YEAST	1.31936	123
ADH1_YEAST	2.61314	123
ADH1_YEAST	0.11478	123
ADH1_YEAST	10.9	123
ADH1_YEAST	0.04388	123
ADH1_YEAST	7.77396	123
ADH1_YEAST	2.4783	123
ADH1_YEAST	0.1934	123
ADH1_YEAST	0.43578	123
ADH1_YEAST	0.33104	123
ADH1_YEAST	0.03168	123
ADH1_YEAST	0.039889	123
ADH1_YEAST	0.137167	123
ADH1_YEAST	0.046234	123
ADH1_YEAST	0.0932	123
ADH1_YEAST	0.01376	123
ADH1_YEAST	0.01494	123
ADH1_YEAST	0.0636	123
ADH1_YEAST	0.19812	123
ADH1_YEAST	0.01494	123
