Reference	MT Abundance	Ref ID
001|Brady2-9	0.1159	147	0.34252
001|Brady2-9	0.2583	147	0.34252
001|Brady2-9	0.65335	147	0.34252
002|des-Pro3,Ala2,6-Bradykinin	1.99585	155	5.0574
002|des-Pro3,Ala2,6-Bradykinin	8.1189	155	5.0574
003|des-Pro2-Bradykinin	0.00972	151	0.050483
003|des-Pro2-Bradykinin	0.02583	151	0.050483
003|des-Pro2-Bradykinin	0.1159	151	0.050483
004|Bradykinin	0.02583	146	0.53777
004|Bradykinin	0.1159	146	0.53777
004|Bradykinin	0.65335	146	0.53777
004|Bradykinin	0.65335	146	0.53777
004|Bradykinin	0.8891	146	0.53777
004|Bradykinin	0.8891	146	0.53777
005|Tyr8-Bradykinin	0.01945	156	0.071513
005|Tyr8-Bradykinin	0.07902	156	0.071513
005|Tyr8-Bradykinin	0.11607	156	0.071513
006|Tyr-Bradykinin	0.02583	149	2.3414
006|Tyr-Bradykinin	0.1159	149	2.3414
006|Tyr-Bradykinin	0.65335	149	2.3414
006|Tyr-Bradykinin	0.65335	149	2.3414
006|Tyr-Bradykinin	0.8891	149	2.3414
006|Tyr-Bradykinin	0.8891	149	2.3414
006|Tyr-Bradykinin	2.46871	149	2.3414
006|Tyr-Bradykinin	7.319024	149	2.3414
006|Tyr-Bradykinin	8.058233	149	2.3414
007|I-S-Bradykinin	0.02583	150	0.48431
007|I-S-Bradykinin	0.1159	150	0.48431
007|I-S-Bradykinin	0.16352	150	0.48431
007|I-S-Bradykinin	0.65335	150	0.48431
007|I-S-Bradykinin	0.65335	150	0.48431
007|I-S-Bradykinin	0.8891	150	0.48431
007|I-S-Bradykinin	0.8891	150	0.48431
008|Fibrinopeptide_A	0.00408	154	2.2832
008|Fibrinopeptide_A	0.04028	154	2.2832
008|Fibrinopeptide_A	6.805168	154	2.2832
009|Tyr-C_peptide	0.0067	118	0.0085667
009|Tyr-C_peptide	0.00896	118	0.0085667
009|Tyr-C_peptide	0.01004	118	0.0085667
011|Osteocalcin	0.65888	143	0.74825
011|Osteocalcin	0.65888	143	0.74825
011|Osteocalcin	0.927	143	0.74825
012|Syntide_2	0.01649	144	0.03874
012|Syntide_2	0.04016	144	0.03874
012|Syntide_2	0.05957	144	0.03874
013|Leptin	0.008568	162	0.35474
013|Leptin	0.447739	162	0.35474
013|Leptin	0.6079	162	0.35474
014|Ala92-Peptide_6	0.45026	148	1.8913
014|Ala92-Peptide_6	3.3324	148	1.8913
015|Pro_14_Arg	0.0123	142	0.47075
015|Pro_14_Arg	0.04588	142	0.47075
015|Pro_14_Arg	0.889049	142	0.47075
015|Pro_14_Arg	0.93579	142	0.47075
016|VIP-1-23	3.768504	157	6.0795
016|VIP-1-23	8.39044	157	6.0795
017|DBI-51-70	0.00863	145	0.55061
017|DBI-51-70	0.172	145	0.55061
017|DBI-51-70	1.471187	145	0.55061
018|EGF-661-681	0.02902	141	2.0668
018|EGF-661-681	0.1856	141	2.0668
018|EGF-661-681	0.31408	141	2.0668
018|EGF-661-681	0.3425	141	2.0668
018|EGF-661-681	1.82353	141	2.0668
018|EGF-661-681	1.82353	141	2.0668
018|EGF-661-681	5.538128	141	2.0668
018|EGF-661-681	6.47767	141	2.0668
019|3X_FLAG_Peptide	0.251202	139	0.8971
019|3X_FLAG_Peptide	1.543	139	0.8971
020|PLSRTLSVAAKK	1.48989	152	1.4899
021|Dynorphin_A	0.00466	163	4.9371
021|Dynorphin_A	2.928578	163	4.9371
021|Dynorphin_A	11.87796	163	4.9371
023|Angiotensin_I	2.9847	158	7.5472
023|Angiotensin_I	12.109736	158	7.5472
ADH1_YEAST	0.010887	123	0.082412
ADH1_YEAST	0.01376	123	0.082412
ADH1_YEAST	0.01486	123	0.082412
ADH1_YEAST	0.01494	123	0.082412
ADH1_YEAST	0.01494	123	0.082412
ADH1_YEAST	0.0154	123	0.082412
ADH1_YEAST	0.03168	123	0.082412
ADH1_YEAST	0.03501	123	0.082412
ADH1_YEAST	0.03572	123	0.082412
ADH1_YEAST	0.039889	123	0.082412
ADH1_YEAST	0.04388	123	0.082412
ADH1_YEAST	0.046234	123	0.082412
ADH1_YEAST	0.05724	123	0.082412
ADH1_YEAST	0.0618	123	0.082412
ADH1_YEAST	0.0636	123	0.082412
ADH1_YEAST	0.0932	123	0.082412
ADH1_YEAST	0.111	123	0.082412
ADH1_YEAST	0.11478	123	0.082412
ADH1_YEAST	0.1204	123	0.082412
ADH1_YEAST	0.137167	123	0.082412
ADH1_YEAST	0.1934	123	0.082412
ADH1_YEAST	0.1939	123	0.082412
ADH1_YEAST	0.19812	123	0.082412
ADH1_YEAST	0.199	123	0.082412
ADH1_YEAST	0.1995	123	0.082412
AMYG_ASPNG	0.003694	132	0.21542
AMYG_ASPNG	0.00494	132	0.21542
AMYG_ASPNG	0.006363	132	0.21542
AMYG_ASPNG	0.01306	132	0.21542
AMYG_ASPNG	0.017198	132	0.21542
AMYG_ASPNG	0.0221	132	0.21542
AMYG_ASPNG	0.02347	132	0.21542
AMYG_ASPNG	0.02607	132	0.21542
AMYG_ASPNG	0.03571	132	0.21542
AMYG_ASPNG	0.03828	132	0.21542
